DOI,SMILES,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1021/acsami.7b09801,O=C(C1=C2C=CC=C1)N(C3=CC=C(C#N)C=C3)N=C2C4=CC=C(C#N)C=C4,like CTF,600,h2so4,1,1009,277,0.52,2,,,0.96,7.18,6.57,,,,
10.1021/acsami.7b09801,O=C(C1=C2C=CC=C1)N(C3=CC=C(C#N)C=C3)N=C2C4=CC=C(C#N)C=C5,like CTF,650,h2so4,1,1245,292,0.67,2.1,,,1.02,5.72,6.05,,,,
10.1021/acsami.7b09801,O=C(C1=C2C=CC=C1)N(C3=CC=C(C#N)C=C3)N=C2C4=CC=C(C#N)C=C6,like CTF,700,h2so4,1,1638,302,0.89,2.2,,,1.45,4.36,5.29,,,,
10.1021/acs.chemmater.7b00857,C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=NC(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=NC(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)=N1,,ptct-c,koh,1,1280,550,1.82,0.71,1.64,,,6.07,,,,,
10.1021/acs.chemmater.7b00857,C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC=C(N(C(C=C5)=CC=C5N6C(C=CC=C7)=C7C8=C6C=CC=C8)C(C=C9)=CC=C9N%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C1,,ptca-c,koh,1,790,380,1.82,0.93,1.31,,,3.6,,,,,
10.1021/acs.chemmater.7b00857,C1(N2C(C=CC=C3)=C3C4=C2C=CC=C4)=CC=C(C(C=C5)=CC=C5N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C1,,pbcp-c,koh,1,910,300,2.24,0.94,1.98,,,2.99,,,,,
10.1039/c7ra07003a,C=CC#N,,,h2so4,0.8,722,175,0.493,2.73,,,,2.8,7,,,,
10.1039/c7ra07003a,C=CC#N,,,h2so4,0.8,1600,270,0.862,2.16,,,,2.6,11,,,,
10.1002/chem.201602922,NC1=NC(N=CC2=CC=C(C=O)C=C2)=NC(N)=N1,,,koh,1,1415,289,1.4,3.96,,1040,0.88,3.47,12.7,,,,
10.1002/chem.201602922,NC1=NC(N=CC2=CC=C(C=O)C=C2)=NC(N)=N1,,,koh,1,170,96,0.2,8.37,,108,0.8,,,,,,
10.1002/chem.201602922,NC1=NC(N=CC2=CC=C(C=O)C=C2)=NC(N)=N1,,,koh,1,306,137,0.31,5.5,,173,0.76,,,,,,
10.1002/chem.201602922,NC1=NC(N=CC2=CC=C(C=O)C=C2)=NC(N)=N1,,,koh,1,654,243,0.49,4.38,,293,0.67,5.89,8.63,,,,
10.1039/c6ta08868f,C=CC#N,,,emimbf4,3.5,3550,150,1.78,,,1349,,,,,,,
10.1039/c6ta08868f,C=CC#N,,,lipf6 EC/DMC,3,3550,216,1.78,,,1349,,,,,,,
10.1021/acs.iecr.5b00601,O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,with Mg (MgO) as template,,koh,1,1634.5,204.4,3.67,1.58,,,2.72,0,,,,,
10.1021/acs.iecr.5b00601,O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,with Mg (MgO) as template,,koh,1,1972.1,236.5,4.78,1.65,,,2.55,0,,,,,
10.1021/acs.iecr.5b00601,O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,with Mg (MgO) as template,,koh,1,1918.5,209.2,2.89,1.66,,,2.42,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-6,koh,0.9,524,,0.31,0.6,0.25,,0.8,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-7,koh,0.9,637,,0.37,0.6,0.31,,0.82,0,,,,,
