dataset,capacity_max,smiles,canon_smiles,selfies,molecule
expert1,500.0,N#Cc%10cc(C#N)c%11ccc%13c(c9nc(c1cc(C#N)c2ccc3c(C#N)cc(C#N)c4ccc1c2c34)nc(c5cc(C#N)c6ccc7c(C#N)cc(C#N)c8ccc5c6c78)n9)cc(C#N)c%12ccc%10c%11c%12%13,N#Cc1cc(C#N)c2ccc3c(-c4nc(-c5cc(C#N)c6ccc7c(C#N)cc(C#N)c8ccc5c6c78)nc(-c5cc(C#N)c6ccc7c(C#N)cc(C#N)c8ccc5c6c78)n4)cc(C#N)c4ccc1c2c43,[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=C][Branch2][#Branch1][#Branch2][C][=N][C][Branch2][Ring2][=Branch1][C][=C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Branch1][Ring1][C][#N][C][=C][C][=C][Ring2][Ring1][Ring2][C][Ring1][S][=C][Ring1][=C][Ring1][=Branch1][=N][C][Branch2][Ring2][=Branch1][C][=C][C][Branch1][Ring1][C][#N][=C][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Branch1][Ring1][C][#N][C][=C][C][=C][Ring2][Ring1][Ring2][C][Ring1][S][=C][Ring1][=C][Ring1][=Branch1][=N][Ring2][Branch1][C][C][=C][Branch1][Ring1][C][#N][C][=C][C][=C][Ring2][=Branch1][Ring2][C][Ring2][Branch1][S][=C][Ring1][=Branch1][Ring2][Branch1][=C],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089a10>
expert1,589.0,N#Cc9c1ccccc1c(c8nc(c3c2ccccc2c(C#N)c4ccccc34)nc(c6c5ccccc5c(C#N)c7ccccc67)n8)c%10ccccc9%10,N#Cc1c2ccccc2c(-c2nc(-c3c4ccccc4c(C#N)c4ccccc34)nc(-c3c4ccccc4c(C#N)c4ccccc34)n2)c2ccccc12,[N][#C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch2][Branch1][S][C][=N][C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][C][#N][C][=C][C][=C][C][=C][Ring1][S][Ring1][=Branch1][=N][C][Branch2][Ring1][=Branch2][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][C][#N][C][=C][C][=C][C][=C][Ring1][S][Ring1][=Branch1][=N][Ring2][Ring2][=Branch1][C][=C][C][=C][C][=C][Ring2][Branch1][Ring2][Ring1][=Branch1],<rdkit.Chem.rdchem.Mol object at 0x7f9a6008ab20>
expert1,not given,N#Cc4cncc(c3nc(c1cncc(C#N)c1)nc(c2cncc(C#N)c2)n3)c4,N#Cc1cncc(-c2nc(-c3cncc(C#N)c3)nc(-c3cncc(C#N)c3)n2)c1,[N][#C][C][=C][N][=C][C][Branch2][Ring2][=Branch1][C][=N][C][Branch1][=N][C][=C][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2][=N][C][Branch1][=N][C][=C][N][=C][C][Branch1][Ring1][C][#N][=C][Ring1][Branch2][=N][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][N],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089e00>
expert1,298.0,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4,N#Cc1ccc(-c2nc(-c3ccc(C#N)cc3)nc(-c3ccc(C#N)cc3)n2)cc1,[N][#C][C][=C][C][=C][Branch2][Ring2][=Branch1][C][=N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=N][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=N][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][N],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089af0>
expert1,280.0,N#Cc7ccc(c6ccc(c5nc(c2ccc(c1ccc(C#N)cc1)cc2)nc(c4ccc(c3ccc(C#N)cc3)cc4)n5)cc6)cc7,N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cc5)cc4)nc(-c4ccc(-c5ccc(C#N)cc5)cc4)n3)cc2)cc1,[N][#C][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][N][C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring1][=C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][=C][Ring1][=C][=N][Ring2][Ring2][C][C][=C][Ring2][Ring2][Branch2][C][=C][Ring2][Ring2][=C],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089d90>
expert1,393.0,N#Cc7ccc(c6ccc(c5nc(c2ccc(c1ccc(C#N)cn1)nc2)nc(c4ccc(c3ccc(C#N)cn3)nc4)n5)cn6)nc7,N#Cc1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C#N)cn5)nc4)nc(-c4ccc(-c5ccc(C#N)cn5)nc4)n3)cn2)nc1,[N][#C][C][=C][C][=C][Branch2][=Branch1][Branch2][C][=C][C][=C][Branch2][Branch1][N][C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][N][=C][Ring1][=C][=N][C][Branch2][Ring1][#Branch1][C][=C][C][=C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=N][Ring1][Branch2][N][=C][Ring1][=C][=N][Ring2][Ring2][C][C][=N][Ring2][Ring2][Branch2][N][=C][Ring2][Ring2][=C],<rdkit.Chem.rdchem.Mol object at 0x7f9a6008af10>
expert1,406.0,N#Cc4cccc(c3nc(c1cccc(C#N)n1)nc(c2cccc(C#N)n2)n3)n4,N#Cc1cccc(-c2nc(-c3cccc(C#N)n3)nc(-c3cccc(C#N)n3)n2)n1,[N][#C][C][=C][C][=C][C][Branch2][Ring2][=Branch1][C][=N][C][Branch1][=N][C][=C][C][=C][C][Branch1][Ring1][C][#N][=N][Ring1][Branch2][=N][C][Branch1][=N][C][=C][C][=C][C][Branch1][Ring1][C][#N][=N][Ring1][Branch2][=N][Ring2][Ring1][=Branch1][=N][Ring2][Ring1][N],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089a80>
expert1,423.0,O=C1N(C(C2=C1C=C(C3=C2)C(OC3=O)=O)=O)C(C=C4)=CC=C4C5=NC(C6=CC=C(N(C(C7=C8C=C(C9=C7)C(OC9=O)=O)=O)C8=O)C=C6)=NC(C%10=CC=C(N(C(C%11=C%12C=C(C%13=C%11)C(OC%13=O)=O)=O)C%12=O)C=C%10)=N5,O=c1oc(=O)c2cc3c(=O)n(-c4ccc(-c5nc(-c6ccc(-n7c(=O)c8cc9c(=O)oc(=O)c9cc8c7=O)cc6)nc(-c6ccc(-n7c(=O)c8cc9c(=O)oc(=O)c9cc8c7=O)cc6)n5)cc4)c(=O)c3cc12,[O][=C][O][C][=Branch1][C][=O][C][=C][C][C][=Branch1][C][=O][N][Branch2][Branch2][N][C][=C][C][=C][Branch2][#Branch1][S][C][=N][C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=N][N][C][=Branch1][C][=O][C][=C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=Ring1][#Branch1][C][=C][Ring1][O][C][Ring1][#C][=O][C][=C][Ring2][Ring1][=Branch1][=N][C][Branch2][Ring2][=Branch2][C][=C][C][=C][Branch2][Ring1][=N][N][C][=Branch1][C][=O][C][=C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=Ring1][#Branch1][C][=C][Ring1][O][C][Ring1][#C][=O][C][=C][Ring2][Ring1][=Branch1][=N][Ring2][Branch1][C][C][=C][Ring2][Branch1][Branch2][C][=Branch1][C][=O][C][=Ring2][Branch1][#C][C][=C][Ring2][=Branch1][#Branch1][Ring2][=Branch1][Ring1],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089cb0>
expert1,388.0,O=C1N(C(C2=CC=C3C4=C2C1=CC=C4C(OC3=O)=O)=O)C(C=C5)=CC=C5C6=NC(C7=CC=C(N(C(C8=CC=C9C%10=C8C%11=CC=C%10C(OC9=O)=O)=O)C%11=O)C=C7)=NC(C%12=CC=C(N(C(C%13=CC=C%14C%15=C%13C%16=CC=C%15C(OC%14=O)=O)=O)C%16=O)C=C%12)=N6,O=C1OC(=O)c2ccc3c4c(ccc1c24)C(=O)N(c1ccc(-c2nc(-c4ccc(N5C(=O)c6ccc7c8c(ccc(c68)C5=O)C(=O)OC7=O)cc4)nc(-c4ccc(N5C(=O)c6ccc7c8c(ccc(c68)C5=O)C(=O)OC7=O)cc4)n2)cc1)C3=O,[O][=C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][O][C][=C][C][Ring1][=N][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch2][=Branch2][N][C][=C][C][=C][Branch2][Branch2][S][C][=N][C][Branch2][Ring2][P][C][=C][C][=C][Branch2][Ring2][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][#C][C][=C][C][=Branch1][=Branch1][=C][Ring1][#Branch2][Ring1][=Branch1][C][Ring1][=C][=O][C][=Branch1][C][=O][O][C][Ring1][=N][=O][C][=C][Ring2][Ring1][#Branch2][=N][C][Branch2][Ring2][P][C][=C][C][=C][Branch2][Ring2][Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][#C][C][=C][C][=Branch1][=Branch1][=C][Ring1][#Branch2][Ring1][=Branch1][C][Ring1][=C][=O][C][=Branch1][C][=O][O][C][Ring1][=N][=O][C][=C][Ring2][Ring1][#Branch2][=N][Ring2][Branch1][#Branch2][C][=C][Ring2][Branch1][S][C][Ring2][=Branch1][O][=O],<rdkit.Chem.rdchem.Mol object at 0x7f9a60089850>
expert1,310.0,NC1=CC=C(C2=NC(C3=CC=C(N=C3)/N=C/C4=C(C(/C=N/C5=CC=C(C=N5)C6=NC(C7=CN=C(C=C7)N)=NC(C8=CC=C(N=C8)N)=N6)=CC(/C=N/C9=CC=C(C=N9)C%10=NC(C%11=CN=C(C=C%11)N)=NC(C%12=CC=C(N=C%12)N)=N%10)=C4O)O)=NC(C%13=CN=C(C=C%13)N)=N2)C=N1,Nc1ccc(-c2nc(-c3ccc(N)nc3)nc(-c3ccc(/N=C/c4cc(/C=N/c5ccc(-c6nc(-c7ccc(N)nc7)nc(-c7ccc(N)nc7)n6)cn5)c(O)c(/C=N/c5ccc(-c6nc(-c7ccc(N)nc7)nc(-c7ccc(N)nc7)n6)cn5)c4O)nc3)n2)cn1,[N][C][=C][C][=C][Branch2][O][=N][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][N][N][=C][Ring1][#Branch1][=N][C][Branch2][#Branch2][Ring2][C][=C][C][=C][Branch2][=Branch2][Branch2][/N][=C][/C][=C][C][Branch2][Branch1][C][/C][=N][/C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][N][N][=C][Ring1][#Branch1][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][N][N][=C][Ring1][#Branch1][=N][Ring2][Ring1][Ring2][C][=N][Ring2][Ring1][#Branch2][=C][Branch1][C][O][C][Branch2][Branch1][C][/C][=N][/C][=C][C][=C][Branch2][Ring2][Ring2][C][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][N][N][=C][Ring1][#Branch1][=N][C][Branch1][N][C][=C][C][=C][Branch1][C][N][N][=C][Ring1][#Branch1][=N][Ring2][Ring1][Ring2][C][=N][Ring2][Ring1][#Branch2][=C][Ring2][Branch1][#C][O][N][=C][Ring2][=Branch1][Branch2][=N][Ring2][#Branch1][Branch1][C][=N][Ring2][#Branch1][O],<rdkit.Chem.rdchem.Mol object at 0x7f9a6008a340>
