zwiazek,smiles,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,500,34.2,1,460,0.28,,,,,79
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,600,25.8,1,443,0.41,,,,,187
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,700,20.9,1,1293,0.71,,,,,404
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,800,16.5,1,1234,0.72,,,,,143
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329.0,0.5,0,1,900,14,1,1268,0.71,,,,,220
"2,4,6-tris(4-formylphenyl)triazine 2,5-diaminohydroquinone",NC1=C(O)C=C(N=CC(C=C2)=CC=C2C3=NC(C4=CC=C(C=O)C=C4)=NC(C5=CC=C(C=O)C=C5)=N3)C(O)=C1,515.5,5,5,6,,1.8,1,0,180,14.8,3.4,1855,0.7,,,,,256
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,550,8.1,3.8,981,0.65,,,241,,
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,600,6.48,3.8,994,0.71,,,256,,
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,650,5.54,3.8,1242,0.73,,,212,,
PYPZ,O=C(N(N1)C2=CC=C(C#N)C=C2)C3=C(C1=O)C=C(C4=O)C(C(N(N4)C5=CC=C(C#N)C=C5)=O)=C3,448.4,4,3,6,789,2,1,0,700,3.46,3.8,1464,0.93,,,142,,
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,600,2.73,3.2,856,0.35,,,,,117
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,700,2.44,3.2,931,0.37,,,,,168
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,800,2.02,3.2,1040,0.42,,,,,228
"triphenylbenzene, cyanuric chloride",ClC1=NC(C(C=C2)=CC=C2C3=CC(C4=CC=CC=C4)=CC(C5=CC=CC=C5)=C3)=NC(Cl)=N1,454.4,5,3,6,898,1.7,1,0,900,1.81,3.2,988,0.39,,,,,217
terephtalonitrile,N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,600,11.8,1.2,1558,0.98,,,,,220
"[1,1’-biphenyl]-4,4’-dicarbonitrile",N#CC1=CC=C(C2=CC=C(C#N)C=C2)C=C1,204.2,2,2,6,539,1.1,0,1,600,4.7,2,1451,1.62,,,,,280
"[2,2’-bipyridine]-5,5’-dicarbonitrile",N#CC1=CC=C(C2=CC=C(C#N)C=N2)N=C1,206.2,2,4,6,676,1.1,0,1,600,11.3,2,2278,1.49,,,,,393
"pyridine-2,6-dicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,600,13,0.6,2230,1.49,,,,,324
"2,3,5,6-tetrafluoroterepthalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,600,15.5,1.3,1435,0.49,0.23,,,,
"2,3,5,6-tetrafluoroterepthalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,700,12.1,1.3,1849,1,0.6,115,,,326
"2,3,5,6-tetrafluoroterepthalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,800,4.4,1.3,1122,1.12,0.38,,,,
"1,4-piperazinedicarboxaldehyde, melamine",NC1=NC(N=CN(CC2)CCN2C=O)=NC(N)=N1,250.3,2,8,6,,1.2,1,0,180,47.9,2.3,748,1.21,,,,,335
