zwiazek,smiles_old,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD,,smiles
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,500,10.74,1.3,1681,1.1,,,285,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,550,9.26,1.3,1724,1.35,,,298,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,600,9.01,1.3,2197,2.05,,,263,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,650,7.77,1.3,2098,1.85,,,273,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
terephtalonitrile (dicyanobenzene),N#CC1=CC=C(C#N)C=C1,128.1,1,2,6,386,0.7,0,1,700,5.75,1.3,2237,2.26,,,243,,,,N#Cc4ccc(c3nc(c1ccc(C#N)cc1)nc(c2ccc(C#N)cc2)n3)cc4
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,550,,3.9,1283,0.68,,210,,,,,N#Cc%16ccc(n%15c(=O)c%14cc%13c(=O)n(c%12ccc(c%11nc(c5ccc(n4c(=O)c3cc2c(=O)n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9c(=O)c8cc7c(=O)n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,600,,3.9,,,,231,,,,,N#Cc%16ccc(n%15c(=O)c%14cc%13c(=O)n(c%12ccc(c%11nc(c5ccc(n4c(=O)c3cc2c(=O)n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9c(=O)c8cc7c(=O)n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,650,,3.9,,,,202,,,,,N#Cc%16ccc(n%15c(=O)c%14cc%13c(=O)n(c%12ccc(c%11nc(c5ccc(n4c(=O)c3cc2c(=O)n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9c(=O)c8cc7c(=O)n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
" 4' -(1,3,5,7-tetraoxo-5,7-dihydropyrrolo[3,4-f]isoindole-
2,6(1H, 3H)-diyl)dibenzonitrile (TIDN)",O=C(N1C2=CC=C(C#N)C=C2)C3=CC4=C(C(N(C(C=C5)=CC=C5C#N)C4=O)=O)C=C3C1=O,418.4,5,4,6,925,2,0,1,700,,3.9,1527,0.89,,198,,,,,N#Cc%16ccc(n%15c(=O)c%14cc%13c(=O)n(c%12ccc(c%11nc(c5ccc(n4c(=O)c3cc2c(=O)n(c1ccc(C#N)cc1)c(=O)c2cc3c4=O)cc5)nc(c%10ccc(n9c(=O)c8cc7c(=O)n(c6ccc(C#N)cc6)c(=O)c7cc8c9=O)cc%10)n%11)cc%12)c(=O)c%13cc%14c%15=O)cc%16
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,400,28,0.6,680,0.3,0.26,,,,,,N#Cc4cncc(c3nc(c1cncc(C#N)c1)nc(c2cncc(C#N)c2)n3)c4
