zwiazek,smiles_old,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD,,smiles
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,500,23.14,0.6,604,0.22,,,285.8,,,,N#Cc4cccc(c3nc(c1cccc(C#N)n1)nc(c2cccc(C#N)n2)n3)n4
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,600,21.09,0.6,1099,0.61,,,340.1,,,,N#Cc4cccc(c3nc(c1cccc(C#N)n1)nc(c2cccc(C#N)n2)n3)n4
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,700,12.96,0.6,2316,2.41,,,363.3,,,,N#Cc4cccc(c3nc(c1cccc(C#N)n1)nc(c2cccc(C#N)n2)n3)n4
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,800,11.82,0.6,2795,2.85,,,406,,,,N#Cc4cccc(c3nc(c1cccc(C#N)n1)nc(c2cccc(C#N)n2)n3)n4
"2,4,6-trichloro-1,3,5-triazine, 2,6-diaminanthraquinone",ClC1=NC(/N=C2=CC3=C(C(C(C=C(N)C=C4)=C4C3=O)=O)C=C\2)=NC(Cl)=N1,385.2,4,5,6,489,1.5,1,0,800,10.22,2.9,1993,,,,468,,,,NC1=CC(C(C(C=C2)=C3C=C2NC4=NC(NC5=CC6=C(C=C5)C(C7=C(C6=O)C=CC(N)=C7)=O)=NC(NC8=CC9=C(C=C8)C(C%10=C(C9=O)C=CC(N)=C%10)=O)=N4)=O)=C(C3=O)C=C1
IISERP 10,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=CC(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,517.5,5,9,3,,2.1,1,0,120,,2,1233,,,,546,,,,NC1=CC=C(C2=NC(C3=CC=C(N=C3)/N=C/C4=C(C(/C=N/C5=CC=C(C=N5)C6=NC(C7=CN=C(C=C7)N)=NC(C8=CC=C(N=C8)N)=N6)=CC(/C=N/C9=CC=C(C=N9)C%10=NC(C%11=CN=C(C=C%11)N)=NC(C%12=CC=C(N=C%12)N)=N%10)=C4)O)=NC(C%13=CN=C(C=C%13)N)=N2)C=N1
IISERP 11,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,533.5,5,9,3,,2.1,1,0,120,,2,921,,,,310,,,,NC1=CC=C(C2=NC(C3=CC=C(N=C3)/N=C/C4=C(C(/C=N/C5=CC=C(C=N5)C6=NC(C7=CN=C(C=C7)N)=NC(C8=CC=C(N=C8)N)=N6)=CC(/C=N/C9=CC=C(C=N9)C%10=NC(C%11=CN=C(C=C%11)N)=NC(C%12=CC=C(N=C%12)N)=N%10)=C4O)O)=NC(C%13=CN=C(C=C%13)N)=N2)C=N1
IISERP 12,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4O)N=C3)=NC(C5=CN=C(N)C=C5)=N2,549.5,5,9,3,,2.1,1,0,120,,2,1067,,,,400,,,,NC1=CC=C(C2=NC(C3=CC=C(N=C3)/N=C/C4=C(C(/C=N/C5=CC=C(C=N5)C6=NC(C7=CN=C(C=C7)N)=NC(C8=CC=C(N=C8)N)=N6)=C(O)C(/C=N/C9=CC=C(C=N9)C%10=NC(C%11=CN=C(C=C%11)N)=NC(C%12=CC=C(N=C%12)N)=N%10)=C4O)O)=NC(C%13=CN=C(C=C%13)N)=N2)C=N1
"9,10-dicyanoanthracene",N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,230.3,3,2,6,647,0.7,0,1,400,,1.3,406,,,,,,435,,N#Cc9c1ccccc1c(c8nc(c3c2ccccc2c(C#N)c4ccccc34)nc(c6c5ccccc5c(C#N)c7ccccc67)n8)c%10ccccc9%10
"9,10-dicyanoanthracene",N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,230.3,3,2,6,647,0.7,0,1,500,,1.3,751,,,,,,589,,N#Cc9c1ccccc1c(c8nc(c3c2ccccc2c(C#N)c4ccccc34)nc(c6c5ccccc5c(C#N)c7ccccc67)n8)c%10ccccc9%10
polyethynylbenzonitrile,C#CC(C=C1)=CC=C1C#N,127.1,1,1,2,484,0.8,1,1,800,5.8,,1954,0.74,0.31,,628,,,,C#Cc4ccc(c3nc(c1ccc(C#C)cc1)nc(c2ccc(C#C)cc2)n3)cc4
"1,3,6,8-tetracyanopyrene",N#CC1=C(C=CC2=C(C#N)C=C3C#N)C4=C2C3=CC=C4C(C#N)=C1,302.3,4,4,3,1019,1.1,1,0,500,,1.1,1019,1.12,,,,,500,,N#Cc%10cc(C#N)c%11ccc%13cc(c9nc(c1cc2ccc3c(C#N)cc(C#N)c4ccc(c1)c2c34)nc(c5cc(C#N)c6ccc7c(C#N)cc(C#N)c8ccc5c6c78)n9)cc%12ccc%10c%11c%12%13
